日期,销售额,顾客数,促销,气温
2023-03-09,6097.606716965096,115,0,25.939686085956257
2023-03-10,6468.282389424305,93,0,39.384758423840296
2023-03-11,4271.707767130372,66,0,31.06645000514384
2023-03-12,3752.5229433510644,84,0,27.944827667131015
2023-03-13,7464.439940762135,183,1,30.71991344472798
2023-03-14,6934.055617807088,136,1,25.583655654649874
2023-03-15,5747.226932315808,121,0,27.579042670562004
2023-03-16,6084.122389144564,140,1,41.521947926516646
2023-03-17,5958.732544910648,102,0,25.774393806511465
2023-03-18,4147.63123656898,90,0,29.268535875226465
2023-03-19,2953.9608435941623,44,0,27.420114969766242
2023-03-20,5738.268139698741,132,0,24.542834837600303
2023-03-21,4772.902522419137,98,0,31.8839083661556
2023-03-22,4266.043394131256,91,0,29.99542558598714
2023-03-23,5221.011763362095,88,0,34.39987471252056
2023-03-24,5470.857316692941,123,0,33.92638402558989
2023-03-25,4129.432591397069,124,0,34.40286354608351
2023-03-26,2289.0808511597393,25,1,25.331205229924354
2023-03-27,5333.434438755956,99,0,33.146983064955
2023-03-28,4911.954552625839,102,0,33.28554749292226
2023-03-29,5673.894102969542,129,0,24.867934740047275
2023-03-30,4738.018581308572,83,0,28.391273000419442
2023-03-31,5050.703421332961,44,0,22.711939630001993
2023-04-01,3512.062588416757,97,0,33.34579818170033
2023-04-02,4157.393713651802,98,0,33.325019744581766
2023-04-03,6006.196009806621,85,0,37.150980582139155
2023-04-04,6847.312424249182,124,0,28.851470267801844
2023-04-05,7196.5921346063515,175,0,32.246145088669316
2023-04-06,7115.814174407117,171,0,34.91784711378046
2023-04-07,7720.4503361255875,173,0,26.197131374768244
2023-04-08,5172.435210095944,99,1,25.42122740441848
2023-04-09,4366.07354019819,88,0,26.31814248729332
2023-04-10,7622.744773064323,149,1,28.164663298908444
2023-04-11,6563.4472859814405,153,0,25.53400412409264
2023-04-12,7208.3540753201805,126,1,26.46034294983219
2023-04-13,7394.652360570028,131,0,34.23384136496605
2023-04-14,6665.080648441002,153,0,29.314403758983435
2023-04-15,3499.832284235433,69,1,31.293597374620862
2023-04-16,3590.8939167451053,99,0,26.96759802569774
2023-04-17,6513.460542624808,116,0,26.597550684328937
2023-04-18,5578.702014102793,110,0,31.062484933343477
2023-04-19,5532.001515178611,92,0,30.21748980988999
2023-04-20,5726.267382604412,114,1,33.4267433578448
2023-04-21,5582.136027255722,82,0,35.99158079014168
2023-04-22,3298.343389897577,56,0,25.970550412522183
2023-04-23,3021.1439190214937,31,0,33.67473615177322
2023-04-24,4979.143881765548,113,0,23.90820847191398
2023-04-25,5617.892896350518,126,0,39.611800635947354
2023-04-26,5560.759361749458,76,0,25.244315994902294
2023-04-27,5288.205174213712,132,0,32.559199149725956
2023-04-28,6123.270904204096,172,0,23.59735632952352
2023-04-29,3708.746299359308,75,1,28.197938476615096
2023-04-30,3556.257222015042,58,0,36.609238937062514
2023-05-01,5820.514650548323,172,0,24.71160127980499
2023-05-02,5928.5412726628765,92,0,39.73799402652433
2023-05-03,6490.5316347739545,130,0,28.605043294953887
2023-05-04,7434.6473914605685,152,0,33.4217843874116
2023-05-05,6580.597234962138,158,1,30.46721344104865
2023-05-06,5210.263284293488,111,0,30.644455122168203
2023-05-07,4882.7118434814465,87,1,21.13297340152357
2023-05-08,7134.367374732555,123,0,25.801116549568928
2023-05-09,6519.5012893756475,123,0,34.044681775627964
2023-05-10,7130.787401716885,122,0,26.240222628976174
2023-05-11,7069.17271388196,142,0,28.550658964376215
2023-05-12,7323.288797495241,135,0,20.01172977182465
2023-05-13,5019.425708920159,70,1,24.951001422901708
2023-05-14,4137.540580599778,107,0,33.141864763477415
2023-05-15,7090.010812839532,131,1,20.999072948851257
2023-05-16,6455.151520110999,103,0,30.880970725845692
2023-05-17,6251.285067770984,121,0,28.06565982968455
2023-05-18,5958.67218023163,120,0,25.87605867095589
2023-05-19,5533.3360240964175,75,0,25.53318955725974
2023-05-20,3755.756344396969,81,1,24.352585604380224
2023-05-21,3771.7688141798535,54,0,24.67078378185052
2023-05-22,4585.495638032069,125,0,31.20026469614664
2023-05-23,5156.097685958679,113,0,24.260328061141767
2023-05-24,5308.004619429932,98,0,35.32557975691988
2023-05-25,5617.028786551985,97,0,27.65050851484934
2023-05-26,6180.630099179122,121,0,23.134930987107865
2023-05-27,3330.984767224213,78,0,30.744682285352805
2023-05-28,3633.2338242986048,72,0,28.857202394426128
2023-05-29,5816.996301600925,111,0,17.325010422963473
2023-05-30,5881.324514129967,118,0,20.280047600318824
2023-05-31,6326.406752443868,114,0,24.73019897560727
2023-06-01,7103.312800811741,135,0,17.24258423805754
2023-06-02,6399.818895393626,86,0,35.46506764431582
2023-06-03,5331.692449868927,126,0,28.973887981283607
2023-06-04,4432.193710468224,94,0,24.64493084155633
2023-06-05,7135.356405563334,127,0,22.84553416701827
2023-06-06,7346.311866186161,184,0,21.406869571709954
2023-06-07,8401.951731825306,169,0,14.429842609840996
2023-06-08,7437.12074299193,128,0,15.429191329928067
2023-06-09,6440.434779569693,145,1,33.441506422902705
2023-06-10,4466.580950353816,97,0,31.645077848202575
2023-06-11,5370.159618650737,115,0,20.738248532677474
2023-06-12,7514.670680187428,141,0,27.99611890761962
2023-06-13,7224.464571889426,153,0,25.826188697230457
2023-06-14,6931.696743718261,133,0,26.25251019260248
2023-06-15,7231.129798752838,155,0,15.84123937023138
2023-06-16,6182.292698813671,85,0,13.76141713934136
2023-06-17,4710.718634937608,85,0,28.549626722629515
2023-06-18,3276.207305194319,99,0,12.573730289625205
2023-06-19,5494.381258053573,94,0,21.562088995393545
2023-06-20,4930.453898749653,86,0,20.296697523309028
2023-06-21,5621.520833369952,103,0,19.665974089553725
2023-06-22,5702.347495998556,89,0,23.369919968708906
2023-06-23,5792.528850744987,71,0,18.240107980492915
2023-06-24,3819.885160148414,71,1,23.43666928152399
2023-06-25,3420.1979308096934,71,0,21.993258847981785
2023-06-26,5921.734752315993,117,0,31.610251841469076
2023-06-27,5433.491413404654,105,0,14.018320539081344
2023-06-28,7054.877844490327,141,1,20.920209711858764
2023-06-29,6430.275272733237,149,0,22.758858273046748
2023-06-30,6555.556940478153,127,0,19.148209552383825
2023-07-01,5812.381855039801,104,0,13.572808862832138
2023-07-02,4605.613376301187,86,0,26.37158387216286
2023-07-03,6854.991695276485,148,1,21.598601681833383
2023-07-04,7035.034663043109,168,0,13.407332033095704
2023-07-05,7682.089712934696,141,0,21.763117482745997
2023-07-06,8026.872331113952,162,1,27.905697576606357
2023-07-07,8234.35962942719,171,0,19.04455554058577
2023-07-08,7160.519554115757,123,0,19.043569154475197
2023-07-09,4716.340289194772,94,0,26.723435083999654
2023-07-10,8070.3931983466455,132,0,13.860598316717926
2023-07-11,7374.579539191281,112,0,27.179768243904665
2023-07-12,7214.577677848088,151,0,23.236485222456018
2023-07-13,7026.850578948862,132,0,13.5812393228443
2023-07-14,6693.526855413779,137,0,14.691926102843661
2023-07-15,5792.262417301731,115,1,15.240726677190594
2023-07-16,5173.236972689196,83,0,8.529122227758432
2023-07-17,6574.86134620289,130,1,18.832136940545052
2023-07-18,7067.722623951029,116,0,12.96861005648066
2023-07-19,5490.590691873168,137,0,18.680449855164365
2023-07-20,5468.622030550098,82,1,10.578155555639015
2023-07-21,4969.959617607502,95,0,21.48399577511423
2023-07-22,3675.7708345700835,52,0,20.39404482840721
2023-07-23,4116.327367984103,93,0,13.014481802991591
2023-07-24,6140.372772671013,116,0,18.181108482112904
2023-07-25,6258.6455517455015,114,0,16.637523144508254
2023-07-26,5611.32675898956,129,1,23.475594664199892
2023-07-27,6883.7921190145335,138,0,10.744045572369428
2023-07-28,6793.077116043702,146,0,14.988506707833727
2023-07-29,5248.615449915244,85,0,12.391393972956184
2023-07-30,4153.618911204972,54,0,15.665024050416248
2023-07-31,7473.657120216653,151,0,17.954772937179328
2023-08-01,6932.854023117037,132,0,11.878236038544554
2023-08-02,7519.123626016794,162,0,13.167050758596183
2023-08-03,8150.327274795583,161,0,19.669580080128288
2023-08-04,8061.572206912394,165,1,21.479322828012883
2023-08-05,5685.286526405494,81,0,17.015175790607888
2023-08-06,6167.658473460481,161,0,13.714291882182444
2023-08-07,7408.754237746452,144,0,13.09679271577101
2023-08-08,8716.190214244301,188,0,16.862779120711718
2023-08-09,7963.383394036311,142,0,15.122594374775131
2023-08-10,8512.419797605058,176,1,5.602274810910206
2023-08-11,7544.519408744453,124,0,16.57429801558117
2023-08-12,5374.94864887251,116,1,9.276603920521554
2023-08-13,5065.818297498835,94,0,6.363754385530888
2023-08-14,7688.0869658465435,154,1,4.977636917321039
2023-08-15,6697.372730518007,147,0,12.111744049313245
2023-08-16,7185.561073131791,119,1,7.984565920217217
2023-08-17,6500.988548872883,116,0,1.312356100232238
2023-08-18,5558.8735245768,120,0,11.03095332905633
2023-08-19,4148.817562322328,124,1,10.251570284705796
2023-08-20,3769.3893765234216,72,0,11.838274318222142
2023-08-21,6342.429466472895,138,0,9.32884195446803
2023-08-22,5740.274236794481,112,0,21.50776218973096
2023-08-23,6851.931034062154,175,1,14.837846059747797
2023-08-24,6438.436666039048,93,0,9.645434831105469
2023-08-25,6528.057177143236,132,0,11.720037174937033
2023-08-26,5110.160816601314,69,0,19.00841387426729
2023-08-27,5455.216823962128,58,0,16.6177335442183
2023-08-28,7172.038933297412,149,1,4.755398940885744
2023-08-29,7014.399850225345,143,0,6.769292401680488
2023-08-30,6730.926882761693,128,0,7.638275056352664
2023-08-31,7483.71176455821,147,1,9.258278547822687
2023-09-01,7709.179128968493,216,0,8.391462705120674
2023-09-02,6236.673551973539,119,0,11.452983087212171
2023-09-03,6143.451963215423,133,0,14.878484515359084
2023-09-04,8755.023002320868,162,0,15.632728220617498
2023-09-05,8158.030259732927,169,0,9.407620378154459
2023-09-06,8446.001311941804,164,0,2.7929743829811784
2023-09-07,9033.0502378936,172,0,5.691903989699129
2023-09-08,8536.938010761924,207,0,8.225289791255914
2023-09-09,6223.126054633109,148,0,4.531920481812278
2023-09-10,5806.813031324887,118,0,16.397055623128274
2023-09-11,7620.120944718313,106,0,4.7334812441420455
2023-09-12,7322.605064341786,139,0,13.65770378977181
2023-09-13,7279.496567108548,199,0,2.106982424765592
2023-09-14,7729.921228554403,149,0,13.749195540175814
2023-09-15,7052.319221278068,163,0,9.716478296789107
2023-09-16,4317.328213016913,115,0,17.927948025871267
2023-09-17,5730.939821052499,118,0,4.6628091370277085
2023-09-18,6893.957191788147,121,0,7.458244030651415
2023-09-19,5955.4717834482635,70,0,8.38773148662412
2023-09-20,6404.5536410113145,141,0,9.44136273279354
2023-09-21,6690.921296045936,117,1,8.440830325687724
2023-09-22,7541.239530353534,154,1,8.507125670816762
2023-09-23,4229.918367086127,59,0,8.397911380748281
2023-09-24,5404.875534200579,102,0,-0.2670400528368777
2023-09-25,7781.957961193693,156,0,15.034104015364697
2023-09-26,6958.9362043869105,144,0,24.354629727161445
2023-09-27,7343.33149975212,124,0,11.52476650546324
2023-09-28,7181.845376313113,167,0,4.34207415205461
2023-09-29,7816.181120277599,144,0,4.838509689908229
2023-09-30,6108.441655904335,88,0,13.070407202584267
2023-10-01,6647.610251333659,130,0,11.928180792693839
2023-10-02,9028.23656098762,181,0,8.578642049871407
2023-10-03,8241.977371473613,168,0,13.76933683459702
2023-10-04,7727.393984182156,181,0,-0.311925346169291
2023-10-05,8753.89950573015,170,0,13.785956424599977
2023-10-06,8921.290660352593,176,0,11.215556091892909
2023-10-07,6865.765360137676,115,0,5.061070084612047
2023-10-08,6502.688780029918,146,0,2.891201289157058
2023-10-09,8615.520875309365,175,0,10.684414319548813
2023-10-10,9165.507656468599,174,0,17.136865732965287
2023-10-11,8427.603727557056,130,1,8.986039416074965
2023-10-12,7861.2274783162175,186,1,5.891836751314878
2023-10-13,7599.901091452001,127,0,11.143376597965169
2023-10-14,5567.162130343373,99,0,19.325875635560806
2023-10-15,6281.633337839523,132,0,12.415494513594375
2023-10-16,7200.56439294443,120,1,12.996370722531971
2023-10-17,7136.958002262253,112,0,16.45659380330423
2023-10-18,6792.817810747413,93,1,12.751489158196105
2023-10-19,7508.435162425831,164,0,6.5328031982801695
2023-10-20,7905.396732004065,147,0,1.7666100775582834
2023-10-21,5160.78462934742,161,1,5.935770526837261
2023-10-22,5030.329935597559,80,0,5.077807895092673
2023-10-23,7102.366012802679,123,0,13.958168309327386
2023-10-24,6024.701780129733,109,0,14.716323420953573
2023-10-25,7754.790179849936,159,0,11.668147431411095
2023-10-26,7640.346564922117,143,0,4.515260233930799
2023-10-27,7996.2593345126,172,0,19.86284699160712
2023-10-28,5644.268902958145,93,0,8.922640234279624
2023-10-29,6025.683251329213,92,0,14.097591586912197
2023-10-30,8221.224174824207,128,1,11.405949084064158
2023-10-31,9128.596744328986,138,0,12.28440036480714
2023-11-01,8593.764907175844,161,0,14.166356469406018
2023-11-02,9957.35556483934,193,0,7.932259609237211
2023-11-03,9226.487725802674,171,0,18.02884121605055
2023-11-04,6426.680565370409,153,0,3.6962888582188533
2023-11-05,7010.248748742296,164,1,6.4955122061625
2023-11-06,8715.218955216948,167,0,18.247381338661267
2023-11-07,7868.8341688744285,121,0,14.834633215448745
2023-11-08,9652.88029553429,181,0,24.6883446066604
2023-11-09,9059.356523402477,169,0,12.432295650697878
2023-11-10,8803.340302025457,162,1,20.699187971587705
2023-11-11,6430.613520967611,114,0,3.0184578178436023
2023-11-12,5458.99121565378,96,0,5.349367049228401
2023-11-13,7710.27973940452,146,0,17.00790681011932
2023-11-14,8184.153744316203,150,0,3.943990642287716
2023-11-15,7066.604732816272,145,0,11.77672158199343
2023-11-16,6180.970516397205,130,0,18.719479195418042
2023-11-17,7220.421592325102,126,0,15.51127305192687
2023-11-18,5188.064706691079,129,0,13.184948429361222
2023-11-19,5293.259812839082,86,0,11.010026467523968
2023-11-20,7599.737426388995,119,1,14.394783190537034
2023-11-21,7607.74638982045,159,1,16.399946251527833
2023-11-22,7513.359498837521,133,0,10.341205306167309
2023-11-23,8114.62086856596,168,0,15.638212655651557
2023-11-24,6922.72985730087,90,0,19.30738501984229
2023-11-25,6125.554264162884,150,0,12.940342463893069
2023-11-26,6395.357490850714,141,0,14.532611516165247
2023-11-27,7680.218856959871,123,0,16.751876607102705
2023-11-28,7766.476386476556,125,1,17.232317948772515
2023-11-29,8353.765579838006,200,1,19.012216149609205
2023-11-30,8587.014531034822,156,0,9.69396914643475
2023-12-01,9459.854557228617,172,0,12.268678049552406
2023-12-02,6908.756011938889,92,0,12.602851038151957
2023-12-03,6882.882257154551,130,0,10.693100773028734
2023-12-04,9058.705027020993,176,0,6.372427684182416
2023-12-05,9933.83806244538,212,0,-0.7546881238926471
2023-12-06,9347.578203483634,158,1,21.649507633260583
2023-12-07,9176.39989110598,153,0,8.058598951639116
2023-12-08,9098.142076126876,190,0,23.817665741469803
2023-12-09,7653.815419455743,173,0,19.840413380646236
2023-12-10,6462.150779774175,97,0,14.274312672062
2023-12-11,9305.665836287819,207,0,19.545349302309948
2023-12-12,8555.248149460744,171,1,18.750437237627473
2023-12-13,8171.878618194572,185,0,11.27843156837748
2023-12-14,9313.713605891344,184,0,16.87589888528895
2023-12-15,7364.395002808232,96,0,12.215981808486443
2023-12-16,5570.012294739104,108,0,20.55105843551441
2023-12-17,5017.758976633569,121,1,13.87036228984118
2023-12-18,8035.174468972931,142,0,17.13012465895714
2023-12-19,8370.072571457567,159,1,17.081790274904584
2023-12-20,8370.439495334045,163,0,18.556850004010716
2023-12-21,8200.91786027785,106,0,26.43050830713767
2023-12-22,7585.164362317574,185,0,17.082265643905632
2023-12-23,5634.234685777687,94,0,24.546547503229768
2023-12-24,5146.629861460489,113,0,21.027197250542535
2023-12-25,9191.200124515091,182,0,25.889932281189385
2023-12-26,8616.57734825647,197,0,17.27680410145155
2023-12-27,8354.021547565255,175,0,22.621033222473375
2023-12-28,9481.940135311228,184,0,19.01563561897509
2023-12-29,8540.354384695798,152,0,4.53683822195139
2023-12-30,7421.09626940381,164,0,14.206565958670165
2023-12-31,7296.830258331977,108,0,22.739751168205405
