时间(s),横荡(m),纵荡(m),垂荡(m),横摇(deg),纵摇(deg),艏摇(deg)
14,-0.05,0.12,0.10,0.18,0.20,0.12
15,-0.02,0.10,0.04,0.20,0.22,0.14
16,0.02,0.08,0.00,0.18,0.20,0.12
17,0.05,0.05,-0.02,0.14,0.16,0.10
18,0.08,0.02,-0.04,0.10,0.12,0.06
19,0.10,-0.02,-0.04,0.05,0.06,0.04
20,0.10,-0.05,-0.04,0.00,0.00,0.00
0,0.00,0.00,0.00,0.00,0.00,0.00
1,-0.04,-0.05,0.08,0.08,0.06,0.05
2,-0.08,-0.08,0.22,0.15,0.12,0.08
3,-0.10,-0.10,0.38,0.20,0.16,0.10
4,-0.10,-0.08,0.52,0.22,0.18,0.12
5,-0.08,-0.04,0.62,0.20,0.16,0.10
6,-0.05,0.02,0.68,0.16,0.12,0.08
7,-0.02,0.06,0.70,0.12,0.08,0.05
8,0.02,0.10,0.68,0.06,0.04,0.02
9,0.05,0.12,0.62,0.02,0.02,0.00
10,0.08,0.14,0.52,0.00,0.00,0.00
11,0.10,0.14,0.42,-0.02,-0.02,-0.02
12,0.10,0.12,0.32,-0.04,-0.04,-0.03
13,0.08,0.10,0.22,-0.06,-0.06,-0.04
14,0.05,0.06,0.14,-0.08,-0.08,-0.05
15,0.02,0.04,0.06,-0.10,-0.10,-0.06
16,-0.02,0.02,0.00,-0.10,-0.10,-0.06
17,-0.05,-0.02,-0.04,-0.08,-0.08,-0.05
18,-0.08,-0.05,-0.06,-0.06,-0.06,-0.04
19,-0.10,-0.08,-0.08,-0.04,-0.04,-0.02
20,-0.10,-0.10,-0.08,0.00,0.00,0.00
0,0.00,0.00,0.00,0.00,0.00,0.00
1,0.25,0.18,-0.04,-0.03,-0.02,-0.02
2,0.48,0.34,-0.08,-0.06,-0.04,-0.03
3,0.65,0.46,-0.10,-0.08,-0.06,-0.04
4,0.75,0.52,-0.08,-0.09,-0.06,-0.04
5,0.78,0.50,-0.06,-0.08,-0.06,-0.04
6,0.70,0.42,-0.04,-0.06,-0.04,-0.03
7,0.55,0.32,-0.02,-0.05,-0.03,-0.02
8,0.35,0.20,0.00,-0.03,-0.02,-0.01
9,0.15,0.08,0.02,-0.01,-0.01,-0.01
10,0.00,-0.04,0.04,0.00,0.00,0.00
11,-0.12,-0.14,0.06,0.01,0.01,0.01
12,-0.22,-0.22,0.08,0.02,0.02,0.02
13,-0.28,-0.28,0.10,0.03,0.03,0.02
14,-0.32,-0.30,0.10,0.04,0.04,0.03
15,-0.30,-0.28,0.10,0.04,0.04,0.03
16,-0.26,-0.24,0.08,0.03,0.03,0.02
17,-0.20,-0.18,0.06,0.02,0.02,0.02
18,-0.12,-0.12,0.04,0.01,0.01,0.01
19,-0.05,-0.05,0.02,0.00,0.00,0.00
20,0.00,0.00,0.00,0.00,0.00,0.00
0,0.00,0.00,0.00,0.00,0.00,0.00
1,-0.18,-0.25,0.04,0.02,0.03,0.02
2,-0.34,-0.46,0.06,0.04,0.06,0.03
3,-0.46,-0.62,0.08,0.05,0.08,0.04
4,-0.52,-0.72,0.06,0.06,0.09,0.05
5,-0.50,-0.75,0.04,0.05,0.08,0.04
6,-0.42,-0.68,0.02,0.04,0.06,0.03
7,-0.32,-0.55,0.00,0.03,0.05,0.02
8,-0.20,-0.35,-0.02,0.02,0.03,0.01
9,-0.08,-0.18,-0.04,0.01,0.01,0.01
10,0.04,0.00,-0.04,0.00,0.00,0.00
11,0.14,0.14,-0.04,-0.01,-0.01,-0.01
12,0.22,0.26,-0.06,-0.02,-0.02,-0.02
13,0.28,0.34,-0.08,-0.03,-0.03,-0.02
14,0.30,0.38,-0.08,-0.04,-0.04,-0.03
15,0.28,0.36,-0.08,-0.04,-0.04,-0.03
16,0.24,0.30,-0.06,-0.03,-0.03,-0.02
17,0.18,0.22,-0.04,-0.02,-0.02,-0.02
18,0.10,0.14,-0.02,-0.01,-0.01,-0.01
19,0.04,0.06,-0.01,0.00,0.00,0.00
20,0.00,0.00,0.00,0.00,0.00,0.00
0,0.00,0.00,0.00,0.00,0.00,0.00
1,-0.05,-0.08,0.25,-0.02,-0.02,-0.03
2,-0.10,-0.14,0.48,-0.03,-0.04,-0.06
3,-0.12,-0.18,0.65,-0.04,-0.05,-0.08
4,-0.14,-0.20,0.75,-0.05,-0.06,-0.09
5,-0.12,-0.18,0.78,-0.04,-0.05,-0.08
6,-0.10,-0.14,0.70,-0.03,-0.04,-0.06
7,-0.06,-0.10,0.55,-0.02,-0.03,-0.05
8,-0.02,-0.05,0.35,-0.01,-0.02,-0.03
9,0.02,0.02,0.15,0.00,-0.01,-0.01
10,0.04,0.06,0.00,0.00,0.00,0.00
11,0.06,0.10,-0.10,0.01,0.01,0.01
12,0.08,0.12,-0.18,0.02,0.02,0.02
13,0.08,0.12,-0.24,0.02,0.03,0.03
14,0.08,0.12,-0.28,0.03,0.04,0.04
15,0.06,0.10,-0.26,0.02,0.03,0.03
16,0.05,0.08,-0.22,0.02,0.02,0.02
17,0.03,0.05,-0.16,0.01,0.02,0.02
18,0.02,0.03,-0.10,0.01,0.01,0.01
19,0.01,0.01,-0.04,0.00,0.00,0.00
20,0.00,0.00,0.00,0.00,0.00,0.00
